Название муниципалитета;Наименование общеобразовательной организации;Адрес общеобразовательной организации;Скорость передачи данных по договору;Учетное имя в АСР Onyma;PE маршрутизатор;Интерфейс;IP WAN (/30);IP LAN (/27);Оборудование ПМ;Порт ПМ;Примечание;;;;;
Столбец №1;Столбец №2;Столбец №3;Столбец №6;Столбец №8;Столбец №9;Столбец №10;Столбец №11;Столбец №12;Столбец №13;Столбец №14;Столбец №15;;;;;
г. Гуково;МБОУ СШ №9;г.Гуково,ул.Железнодорожная,31А;2048 Кбит/с;8631252458;80.254.100.4;lt-0/0/0.499;172.23.173.205;10.61.110.96;10.30.61.8;0/ 9/30;;;;;;
г. Гуково;МБОУ Гимназия №10;г.Гуково,Бургустинская 10;2048 Кбит/с;8631252460;80.254.100.4;lt-0/0/0.3453;172.23.173.209;10.61.110.128;10.30.61.9;0/10/50;;;;;;
г. Гуково;МБОУ СШ №15;г.Гуково,ул.Бургустинская,17;4096 Кбит/с;8631252463;80.254.100.4;lt-0/0/0.491;172.23.173.213;10.61.110.160;10.30.61.10;5/0/3;;;;;;
г. Гуково;МБОУ ОШ №16;г.Гуково,ул.Дружбы,6;512 Кбит/с;8631253054;80.254.100.4;lt-0/0/0.273;172.23.173.217;10.61.110.192;;;Стык с РТКОММ;;;;;
г. Гуково;МБОУ ОШ №18;г.Гуково,пер.Школьный,3;512 Кбит/с;8631253056;80.254.100.4;lt-0/0/0.273;172.23.173.221;10.61.110.224;;;Стык с РТКОММ;;;;;
г. Гуково;МБОУ казачья СШ №22;г.Гуково,ул.Мира,28;2048 Кбит/с;8631252464;80.254.100.4;lt-0/0/0.35;172.23.173.225;10.61.111.0;10.30.61.9;0/10/24;;;;;;
г.Донецк;ГКОУ РО «Донецкая специальная школа-интернат» (ГКОУ РО Донецкая школа-интернат);ул. Некрасова, д.1, г. Донецк, Ростовская область, 346330;1024 Кбит/с;8631262761;20.0.0.68;;172.23.177.45;10.61.137.96;10.30.68.17;0/0/0;;;;;;
г. Донецк;МБОУ СОШ №1 г.Донецка;346330, Ростовская область, г. Донецк, ул. Советская, д.51;4096 Кбит/с;8631262622;80.254.100.4;lt-0/0/0.469;172.23.174.1;10.61.112.0;10.30.65.135;0/0/0;;;;;;
г. Донецк;МБОУ СОШ №2 г.Донецка;г. Донецк Ростовской области пр. Мира,31;4096 Кбит/с;8631262627;20.0.0.68;;172.23.174.5;10.61.112.32;10.30.68.13;3/0/32;;;;;;
г. Донецк;МБОУ СОШ №3 г.Донецка;346333 Ростовская область, г.Донецк, ул.Цветкова,20А;4096 Кбит/с;8631262628;20.0.0.68;;172.23.174.9;10.61.112.64;10.30.68.17;0/0/10;;;;;;
г. Донецк;МБОУ СОШ №4 г.Донецка;346330, Ростовская обл. г.Донецк,  проспект Мира,41;4096 Кбит/с;8631262629;20.0.0.68;Fa0/0.36;172.23.174.13;10.61.112.96;10.68.13.1;GE0/0/16;;;;;;
г. Донецк;МБОУ СОШ №5 г. Донецка;346332 Ростовская обл., г. Донецк ул. Шевченко,6;4096 Кбит/с;8631262756;20.0.0.68;Fa0/0.145;172.23.174.17;10.61.112.128;10.30.68.17;0/11/40;;;;;;
г. Донецк;МБОУ ООШ №8 г.Донецка;346330, Ростовская область г.Донецк ул.Королева, д.19;4096 Кбит/с;8631262587;20.0.0.68;;172.23.173.245;10.61.111.160;10.30.68.13;4/0/31;;;;;;
г. Донецк;МБОУ Гимназия №12;г.Донецк,3-й микрорайон,10 346341;4096 Кбит/с;;80.254.100.4;lt-0/0/0.559;172.23.174.25;10.61.112.192/27;10.68.1.1;GE0/0/22;;;;;;
г. Донецк;МБОУ СОШ №13 г.Донецка;346341, Ростовская область, г.Донецк, Проспект Мира, 57;4096 Кбит/с;8631262758;80.254.100.4;lt-0/0/0.3505;172.23.174.29;10.61.112.224;10.68.13.1;GE0/0/22;Eltex в бридже, за ним sagem;;;;;
г. Зверево;МБОУ СОШ №4;Зверево, ул. Докукина, 13а;4096 Кбит/с;;80.254.100.4;lt-0/0/0.2216;172.36.64.218;10.61.113.160;10.30.55.7;0/1/36;сот. 8-989-616-7965;;;;;
г. Зверево;МБОУ средняя школа № 2;346312,  Ростовской область, г.Зверево,ул.Осташенко, 10;4096 Кбит/с;8631241201;80.254.100.4;lt-0/0/0.1083;172.23.174.49;10.61.113.128;10.30.55.8;2/0/23;;;;;;
г. Зверево;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 5;346311, Ростовская область,  г. Зверево, ул. Школьная, 7;4096 Кбит/с;8631241200;80.254.100.4;lt-0/0/0.1081;172.23.174.57;10.61.113.192;10.30.55.8;0/0/40;;;;;;
г. Каменск-Шахтинский;ГКОУ РО Каменская специальная школа № 15;347800 Ростовская область г. Каменск-Шахтинский ул. Кирова, 70;2048 Кбит/с;8631169432;80.254.100.4;lt-0/0/0.485;172.23.177.101;10.61.139.32;10.30.65.15;6/0/41;;;;;;
г. Каменск-Шахтинский;МБОУ средняя школа №1 города Каменск-Шахтинский;347800, Ростовская об-ласть, г.Каменск-Шахтинский, ул. Гагарина, 91а;2048 Кбит/с;;80.254.100.4;lt-0/0/0.471;172.23.180.5;10.61.160.32;10.30.65.15;3/0/40;;;;;;
г. Каменск-Шахтинский;Муниципальное общеобразовательное учреждение средняя общеобразовательная школа №3 города Каменск-Шахтинский;347800, Ростовская об-ласть, г.Каменск-Шахтинский, пер. Коммунистический, 72;2048 Кбит/с;8631169411;80.254.100.4;lt-0/0/0.487;172.23.174.69;10.61.114.32;10.30.65.15;4/0/47;;;;;;
г. Каменск-Шахтинский;МБОУ средняя школа №7 города Каменск-Шахтинский;347800, Ростовская об-ласть, г.Каменск-Шахтинский, ул. Ученическая, 2;2048 Кбит/с;8631169413;80.254.100.4;lt-0/0/0.463;172.23.174.81;10.61.114.128;10.30.65.17;2/0/35;;;;;;
г. Каменск-Шахтинский;МОУ СОШ №8 города Каменск-Шахтинский;347825, Ростовская область, г.Каменск-Шахтинский, мкр.Заводской, ул.Больничная, 10;2048 Кбит/с;rs00261889;80.254.100.4;lt-0/0/0.273;172.23.174.85;10.61.114.160;;;Стык с РТКОММ;;;;;
г. Каменск-Шахтинский;Муниципальное общеобразовательное учреждение средняя общеобразовательная школа №9 города Каменск-Шахтинский;347800, Ростовская область, г.Каменск-Шахтинский, пер.Крупской, 82;2048 Кбит/с;8631169414;80.254.100.4;lt-0/0/0.481;172.23.174.89;10.61.114.192;10.30.65.15;6/0/38;;;;;;
г. Каменск-Шахтинский;МБОУ средняя школа №11 города Каменск-Шахтинский;347800, Ростовская область, г.Каменск-Шахтинский, пер.Володарского, 43;2048 Кбит/с;8631169416;80.254.100.4;lt-0/0/0.473;172.23.174.97;10.61.115.0;10.30.65.15;6/0/1;;;;;;
г. Каменск-Шахтинский;МОУ СОШ №18 города Каменск-Шахтинский;347820, Ростовская об-ласть, г.Каменск-Шахтинский, ул. Победы, 7;256 Кбит/с;;80.254.100.4;lt-0/0/0.273;172.23.174.113;10.61.115.128;;;Стык с РТКОММ;;;;;
г. Каменск-Шахтинский;Муниципальное общеобразовательное учреждение средняя общеобразовательная школа №17 города Каменск-Шахтинский;    347820,Ростовская обл.Каменск -Шахтинский,ул.Победы7;256 Кбит/с;;;;;;;;В ониме отсутствует информация;;;;;
г.Каменск-Шахтинский;ГБОУ РО Каменск-Шахтинская школа-интернат;347800, Ростовская область, г. Камненск-Шахтинский, ул. Пивоварова, д. 16;1024  Кбит/с;л/с 99288;;;;;;;PPPoE подключение;;;;;
г. Новошахтинск;МБОУ СОШ №3;346903,г. Новошахтинск, ул. Карла Маркса,15;4096 Кбит/с;8631442279;80.254.100.4;lt-0/0/0.2116;172.23.174.217;10.61.118.192;10.30.69.8;0/23/2;;;;;;
г. Новошахтинск;МБОУ СОШ №4;346900 г.Новошахтинск ул. Щербакова, 27;до 512 Кбит/с ;;80.254.100.4;lt-0/0/0.273;172.23.174.221;10.61.118.224;;;Стык с РТКОММ;;;;;
г. Новошахтинск;МБОУ ООШ № 5;346900 г.Новошахтинск ул.Линейная, 32;512 Кбит/с ;sch_novosh_shkola5;80.254.100.4;lt-0/0/0.1722;172.23.174.225;10.61.119.0;10.69.17.13;GE0/0/2;;;;;;
г. Новошахтинск;МБОУ СОШ № 8;346900 г.Новошахтинск ул.Харьковская, 84а;4096 Кбит/с ;8631442278;80.254.100.4;lt-0/0/0.3129;172.23.174.237;10.61.119.96;10.30.69.13;3/0/12;;;;;;
г. Новошахтинск;МБОУ СОШ №14;346900 г.Новошахтинск ул.Молодогвардейцев 13/5;512 Кбит/с ;8631442276;80.254.100.4;lt-0/0/0.1706;172.23.174.245;10.61.119.160;10.30.69.5;0/ 0/ 1;;;;;;
г. Новошахтинск;МБОУ СОШ № 16;346900 г.Новошахтинск ул.Перова,4;1024  Кбит/с;;80.254.100.4;lt-0/0/0.3451;172.23.174.249;10.61.119.192;80.254.100.52;ge-1/1/5;L2_Peering_Enforta;;;;;
г. Новошахтинск;МБОУ ООШ № 20;346900 г.Новошахтинск ул.60 лет Октября, 20;512 Кбит/с;8631442282;80.254.100.4;lt-0/0/0.3135;172.23.174.253;10.61.119.224;10.30.69.22;0/1/17;;;;;;
г. Новошахтинск;МБОУ СОШ № 24;346900 г.Новошахтинск ул.Горняцкая 24;512 Кбит/с;8631442290;80.254.100.4;lt-0/0/0.1692;172.23.175.1;10.61.120.0;10.30.69.23;0/3/15;;;;;;
г. Новошахтинск;МБОУ СОШ № 25;346900 г.Новошахтинск ул. Краснофлотская, 22/8;4096 Кбит/с;rpuk3vntcd;80.254.100.4;lt-0/0/0.249;172.23.175.5;10.61.120.32;10.30.69.13;3/0/37;;;;;;
г. Новошахтинск;МБОУ СОШ № 28;346900 г.Новошахтинск ул.Киевская 15/1-а/2-б;4096 Кбит/с;8631442289;80.254.100.4;lt-0/0/0.1704;172.23.175.13;10.61.120.96;10.30.69.5;0/0/2;;;;;;
г. Новошахтинск;МБОУ СОШ № 31;346900 г.Новошахтинск ул.Малосадовая, 6;4096 Кбит/с;8631442284;80.254.100.4;lt-0/0/0.2118;172.23.175.17;10.61.120.128;10.30.69.13;10/0/12;;;;;;
г. Новошахтинск;МБОУ СОШ № 34;346900 г.Новошахтинск ул. Восточная, № 8-г;512 Кбит/с;8631442295;80.254.100.4;lt-0/0/0.2006;172.23.175.21;10.61.120.160;10.69.19.17;GE0/0/3;;;;;;
г. Новошахтинск;МБОУ СОШ №37;346900 г.Новошахтинск, ул. Королева,2-б.;512 Кбит/с;8631442286;80.254.100.4;lt-0/0/0.2129;172.23.175.25;10.61.120.192;10.30.69.9;0/1/1;;;;;;
г. Новошахтинск;МБОУ ООШ № 38;346900 г.Новошахтинск  ул.Франко д 10/2-в;512 Кбит/с;8631442287;80.254.100.4;lt-0/0/0.2136;172.23.175.29;10.61.120.224;10.30.69.9;0/1/2;;;;;;
г. Новошахтинск;МБОУ ООШ № 79;346900 г.Новошахтинск ул. Пирогова 26;512 Кбит/с;8631441516;80.254.100.4;lt-0/0/0.2125;172.23.175.37;10.61.121.32;10.30.69.9;0/1/3;;;;;;
г. Новошахтинск;ГБОУ РО Новошахтинская школа-интернат;346900, Ростовская область, г.Новошахтинск, ул.Харьковская, 8-а;4096 Кбит/с;8631442285;80.254.100.4;lt-0/0/0.3137;172.23.176.253;10.61.135.224;10.30.69.13;4/0/29;;;;;;
г. Новочеркасск;Государственное казенное общеобразовательное учреждение Ростовской области «Новочеркасская специальная школа-интернат  №33»;Фактический адрес:   346421, г. Новочеркасск, ул. Тополиная, 60.;2048 Кбит/с;8631805006;20.0.0.152;Gi0/1.571;172.23.178.121;10.61.147.192; nvc-am31-6n5;vlan571;;;;;;
г. Новочеркасск;МБОУ СОШ № 1;346400, Ростовская обл. г. Новочеркасск, ул. Московская, д. 13/99;4096 Кбит/с;8631805005;20.0.0.152;;172.23.174.137;10.61.116.64; Baklanovsky_25_NEC_DS-ATS2N1;vlan595;;;;;;
г. Новочеркасск;МБОУ СОШ № 2 ;346400, Ростовская область, г. Новочеркасск, ул. Александровская, 112а;4096 Кбит/с;8631802809;80.254.100.4;lt-0/0/0.1862;172.23.174.141;10.61.116.96;10.52.54.129;Ethernet0/0/2;;;;;;
г. Новочеркасск;МБОУ СОШ  № 5;346429 Ростовская область, г. Новочеркасск, ул. Атаманская, 41/2;4096 Кбит/с;8631805007;20.0.0.152;;172.23.174.149;10.61.116.160;Baklanovsky_25_NEC_DS-ATS2N2;vlan584;;;;;;
г. Новочеркасск;МБОУ СОШ № 6;345421 г. Новочеркасск, пр-т Баклановский 150;4096 Кбит/с;8631805002;20.0.0.152;;172.23.174.153;10.61.116.192;10.30.92.162;0/0/37;;;;;;
г. Новочеркасск;МБОУ «Лицей №7»;345421 г. Новочеркасск, пр. Баклановский, 136;1024  Кбит/с;8631802170;20.0.0.152;;172.23.180.9;10.61.160.64;nvc-am31-6n6;vlan599;;;;;;
г. Новочеркасск;МБОУ СОШ №8;346400 Ростовская обл. г. Новочеркасск ул. Бакунина, 95;4096 Кбит/с;8631805017;20.0.0.152;;172.23.174.157;10.61.116.224;Baklanovsky_25_NEC_DS-ATS2N1;vlan601;;;;;;
г. Новочеркасск;МБОУ СОШ № 9;346405 Ростовская область, г. Новочеркасск, ул. Свободы, 19 ;4096 Кбит/с;mfxmbdc2ta;20.0.0.152;;172.23.180.13;10.61.160.96;10.30.92.161;0/4/19;;;;;;
г. Новочеркасск;МБОУ СОШ № 10;346400 Ростовская обл. г. Новочеркасск, ул. Мелиховская 35;4096 Кбит/с;8631804997;80.254.100.4;lt-0/0/0.1654;172.23.174.161;10.61.117.0;NEC AM31_Donskoy;vlan578;;;;;;
г. Новочеркасск;МБОУ СОШ № 11 им. А.М. Позынича;346400 Ростовская обл. г. Новочеркасск, ул. Калинина, 53;2048 Кбит/с;8631804999;20.0.0.152;;172.23.174.165;10.61.117.32;nvc-am31-3n6;vlan587;;;;;;
г. Новочеркасск;МБОУ СОШ №12;346408 Ростовская область г. Новочеркасск.ул. Ростовский выезд, 18;4096 Кбит/с;8631802810;20.0.0.152;;172.23.174.169;10.61.117.64; BroadAccess_ATS_54;vlan596;;;;;;
г. Новочеркасск;МБОУ СОШ № 15;346406, Ростовская область, г.Новочеркасск, ул.Клещева, д. 39;4096 Кбит/с;8631805009;20.0.0.152;;172.23.174.173;10.61.117.96;NEC AM-31;vlan588;;;;;;
г. Новочеркасск;МБОУ СОШ № 19;346407, Ростовская обл., г. Новочеркасск, ул. Буденновская, 21;4096 Кбит/с;8631805001;20.0.0.152;;172.23.174.181;10.61.117.160;Baklanovsky_25_NEC_DS-ATS2N2;vl597;;;;;;
г. Новочеркасск;МБОУ СОШ № 20;346407, Ростовская обл., г. Новочеркасск, ул. Клещева, 37;2048 Кбит/с;8631805015;20.0.0.152;;172.23.174.185;10.61.117.192;NEC AM-31;vl590;;;;;;
г. Новочеркасск;МБОУСОШ №22;346405, Ростовская обл., Новочеркасск, ул. Калинина 27;4096 Кбит/с;8631804998;20.0.0.152;;172.23.174.189;10.61.117.224;nvc-am31-3n6;vl591;;;;;;
г. Новочеркасск;МБОУ СОШ № 23;346405, Ростовская обл., Новочеркасск, ул. Мелиховская,17;4096 Кбит/с;rnsvnjykj7;80.254.100.4;lt-0/0/0.1656;172.23.174.193;10.61.118.0;NEC AM31_Donskoy;vl579;;;;;;
г. Новочеркасск;МБОУ СОШ № 24;346414, Ростовская обл., г. Новочеркасск,Макаренко 14 ;4096 Кбит/с;8631805003;20.0.0.152;;172.23.174.197;10.61.118.32;172.29.0.97;vl598;;;;;;
Аксайский район; МБОУ Александровская ООШ;346712, Ростовская область, Аксайский район, хутор Александровка, Студенческая улица, 43;2048 Кбит/с;;20.0.0.50;Fa0/0.482;172.23.160.234;10.61.7.65;10.30.50.167;Eth0/0/1;;;;;;
г. Новочеркасск;ГКОУ Новочеркасская специальная школа-интернат №1;346405 Ростовская область, г.Новочеркасск ул.Спортивная 111/29;2048 Кбит/с;;20.0.0.152;GE0/1.595;172.23.174.137;10.61.116.65;Baklanovsky_25_NEC_DS-ATS2N1;vl595;;;;;;
г. Новочеркасск;МБОУ СОШ №25 им. П.К. Каледина;г.Новочеркасск,ул.Петрова 17 346400;4096 Кбит/с;;20.0.0.152;Gi0/1.592;172.23.174.201;;NEC_AM31 192.168.4.44;0/8/26;;;;;;
г. Ростов-на-Дону;ГКОУ РО Ростовская-на-Дону санаторная школа-интернат № 74;г.Ростов-на-Дону, Щербакова 111;1 Мбит/с;;;;;;;;Телефония;;;;;
г.Ростов-на-Дону;Государственное бюджетное общеобразовательное учреждение Ростовской области Ростовская-на-Дону школа-интернат;344064, Ростовская обл, г. Ростов-на-Дону, ул. Дачная 8а;2048 Кбит/с;8631032811;80.254.100.4;lt-0/0/0.269;172.23.177.13;10.61.136.96;10.108.23.1;0/0/4;;;;;;
г. Ростов-на-Дону;ГКОУ РО Ростовская специальная школа-интернат №38;344091, г.Ростов-на-Дону, пр.Стачки, д.235\2;4096 Кбит/с;;;;;;;;PPPoE подключение;;;;;
г. Ростов-на-Дону;ГКОУ РО Ростовская-на-Дону санаторная школа-интернат;344025 г. Ротстов-на-Дону, ул. 36-я линия, 58;512 Кбит/с;л/с 88116;;;;;;;PPPoE подключение;;;;;
г. Ростов-на-Дону;Государственное бюджетное общеобразовательное учреждение Ростовской области Ростовская-на-Дону школа-интернат музыкантских воспитанников;344025, гРостов-на-Дону, пл. Толстого, 3-5;2048 Кбит/с;;80.254.100.4;lt-0/0/0.279;172.23.177.21;10.61.136.160;10.108.43.1; 0/ 0/24;;;;;;
г. Ростов-на-Дону;МБОУ «Школа № 3»;      Ленина,217/219;2048 Кбит/с;;80.254.100.4;lt-0/0/0.277;172.23.180.17;10.61.160.128;10.109.178.1;14/0/1;;;;;;
г. Ростов-на-Дону;МАОУ «Школа № 30»;Комарова,28/3         ;2048 Кбит/с;8631032761;80.254.100.4;lt-0/0/0.281;172.23.175.53;10.61.121.160;10.108.33.1/10.108.198.1;vl2509;;;;;;
г. Ростов-на-Дону;МБОУ «Школа № 82»;Фурмановская, 82;2048 Кбит/с;8631032829;80.254.105.133;lt-0/0/0.281;172.23.175.69;10.61.122.32;10.108.33.1/10.108.198.1;vl2509;;;;;;
г. Ростов-на-Дону;МБОУ «Школа № 93»;Ленина, 125/1;2048 Кбит/с;8631032803;80.254.100.4;lt-0/0/0.283;172.23.178.69;10.61.146.32;10.108.23.1;0/0/7;;;;;;
г. Ростов-на-Дону;МБОУ «Школа № 97»; г. Ростов-на-Дону, Казахская 89/1;2048 Кбит/с;;80.254.100.4;lt-0/0/0.267;172.23.175.181;10.61.125.160;;;;;;;;
г. Ростов-на-Дону;МБОУ «Школа № 101» ;Королева, 25/3;2048 Кбит/с;8631032825;80.254.100.4;lt-0/0/0.2018;172.23.175.85;10.61.122.160;10.108.18.1;2/0/33;;;;;;
г. Ростов-на-Дону;МБОУ «Лицей № 102»;Комарова, 18;2048 Кбит/с;;80.254.100.4;lt-0/0/0.281;172.23.180.33;10.61.161.0;10.108.33.1/10.108.198.1;vl2509;;;;;;
г. Ростов-на-Дону;МБОУ «Школа № 104»;Комарова, 9/5;2048 Кбит/с;;80.254.100.4;lt-0/0/0.281;172.23.175.89;10.61.122.192;10.108.33.1/10.108.198.1;vl2509;;;;;;
г. Ростов-на-Дону;МАОУ «Лицей экономический № 14»;пл. Круглая, 1;2048 Кбит/с;;80.254.100.4;lt-0/0/0.293;172.23.180.61;10.61.161.224;10.108.33.1/10.108.198.1;vl2509;;;;;;
г. Ростов-на-Дону;МБОУ «Школа № 83»;пр. Ставского, 33;2048 Кбит/с;;80.254.100.4;lt-0/0/0.287;172.23.180.57;10.61.161.192;10.108.20.1;0/1/53;;;;;;
г. Ростов-на-Дону;МАОУ «Школа № 77»;ул. Портовая, 541 ;2048 Кбит/с;8631032788;80.254.100.4;lt-0/0/0.241;172.23.180.53;10.61.161.160;10.108.26.1;0/0/32;;;;;;
г. Ростов-на-Дону;МБОУ «Школа № 66»;Пер. Деревянко, 14;2048 Кбит/с;8631032762;80.254.100.4;lt-0/0/0.287;172.23.175.109; 10.61.123.96;10.108.20.1;0/ 1/53;;;;;;
г. Ростов-на-Дону;МБОУ «Лицей № 2»;ул. Журавлёва, 26/80;2048 Кбит/с;8631037861;80.254.100.4;lt-0/0/0.285;172.23.180.77;10.61.162.96;;;lt поломана;;;;;
г. Ростов-на-Дону;МБОУ «Лицей №51»;пр. Чехова, 36-124;2048 Кбит/с;8631036570;80.254.100.4;lt-0/0/0.1562;172.23.180.97;10.61.163.0;10.109.38.1;0/14/57;;;;;;
г. Ростов-на-Дону;МБОУ «Гимназия №35»;Пер. Соборный, 1;1048 Кбит/с;hpwuermzzd;80.254.100.4;lt-0/0/0.273;172.23.180.109;10.61.163.96;;;Стык с РТКОММ;;;;;
г. Ростов-на-Дону;МБОУ «Гимназия № 36»;Ул. М. Горького, 115;2048 Кбит/с;;80.254.100.4;lt-0/0/0.271;172.23.180.113;10.61.163.128;10.108.36.1;1/0/45;;;;;;
г. Ростов-на-Дону;МАОУ «Школа № 39»;ул. Серафимовича, 85;2048 Кбит/с;8631032766;80.254.100.4;lt-0/0/0.275;172.23.175.129;10.61.124.0;10.108.12.1;1/0/32;;;;;;
